id,name
998,SPRINGFIELD GABLES STREET
999,Stacy Lovell's House
1000,Kent Brockman's House
1001,Somewhere
1002,MISSION CONTROL
1003,Nasa
1004,CAPE CANAVERAL BASE
1005,Hotel Banquet Room
1006,SIMPSONS' BASE KITCHEN
1007,NASA Training Facility
1008,NASA Gym
1009,NASA Corridor
1010,Cape Canaveral
1011,LAUNCH PAD
1012,SIMPSONS' BASE HOUSE LIVING ROOM
1013,NASA Mission Control
1014,SIMPSONS' BASE HOUSING LIVING ROOM
1015,STADIUM BOX OFFICE
1016,Shelbyville Stadium
1017,SPRINGFIELD LOCKER ROOM
1018,LOCKER ROOM EXIT
1019,FLANDERS' REC ROOM
1020,Flanders' Dining Room
1021,SHELTER
1022,FLANDERS' STATION WAGON- DAY
1023,Boat Launch
1024,Campsite
1025,UNIVERSITY CLOCK TOWER
1026,Flanders Master Bedroom
1027,FLANDERS' DRIVEWAY
1028,Roadside
1029,FIRST CHURCH
1030,KBBL
1031,ARBORETUM
1032,Flanders Bedroom
1033,Springfield Streets
1034,Amphitheater
1035,ANOTHER AMPHITHEATER
1036,Peanut Factory
1037,QUIET SPRINGFIELD STREET
1038,SPRINGFIELD ANIMAL REFUGE
1039,ANOTHER BASEMENT ROOM
1040,MUNICIPAL COURTROOM
1041,Sports Car
1042,Cheap Motel
1043,BASEMENT ROOM
1044,NEXT ROOM
1045,BASEMENT TV MONITOR ROOM
1046,SPRINGFIELD LAUNDROMAT
1047,ITALIAN RESTAURANT
1048,Fort Springfield
1049,Prison Bus
1050,Springfield Elementary School Crime Lab
1051,Riverbank
1052,Old Abandoned Club House
1053,AUCTION HOUSE
1054,DESOLATE ROAD
1055,QUIMBY COMPOUND
1056,QUIMBY COMPOUND FRONT YARD
1057,QUIMBY MANSION
1058,JURY ROOM
1059,Springfield Palace Hotel
1060,Bouvier Apartment
1061,GENERATION X GROUP HOUSE
1062,MOUNTAINTOP
1063,SENIOR CITIZEN'S MINIBUS
1064,Adult Education Annex
1065,OLD SOUTHERN MANSION
1066,Simpson Front Porch
1067,ATTIC
1068,WAX MUSEUM
1069,POOL EMPORIUM
1070,Pool Sharks!
